Clase,Loudness,Duration,Spectral Energy,Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
ARTIFICIAL,-42.11240005493164,7.56,0.076016575,0.18124820264570551,2527.5501764194323,2173.5079856900597,21.331336393133252,-288.7477722167969,69.25931549072266,12.294532775878906,13.817802429199219,12.769767761230469,9.84106731414795,-17.174354553222656,0.19749516248703003,-18.665143966674805,-7.685218334197998,-8.001160621643066,-4.960345268249512,-6.474540710449219,-5.687600135803223,-2.102025032043457,-0.5479888916015625,-9.65184497833252,-3.7850558757781982,-2.027722120285034,-4.225729942321777
ARTIFICIAL,-31.32722320888678,7.56,0.08026029,0.2796054208205521,4074.359474858672,3149.230463114482,15.261692627955632,-150.59146839179496,34.38820913781688,16.186496277170697,7.459249595169226,8.930723825487547,3.7204995236806937,-8.609721981693369,-5.6045364597703236,-11.032772695168294,-7.944585944420851,-6.023780479008586,-4.0630380460876445,-4.939145881555835,-5.218254302924812,-1.88910411435418,-2.0246939365450936,-5.206112298640796,-3.4010285056573974,-2.227745447069997,-3.160413295136796
ARTIFICIAL,-42.47200393676758,7.56,0.051891677,0.13540218797929449,2301.8667678754696,2243.5882050241685,22.871593165907928,-315.17364501953125,74.72791290283203,13.387892723083496,11.527582168579102,12.630415916442871,8.39430046081543,-18.241147994995117,-1.4083868265151978,-20.620710372924805,-8.348306655883789,-7.893585205078125,-5.333571910858154,-8.091653823852539,-6.504158020019531,-2.7307403087615967,-1.0053023099899292,-10.293169021606445,-4.417870044708252,-1.8221817016601562,-4.623673439025879
ARTIFICIAL,-42.33811569213867,7.56,0.0757477,0.18033754313650308,2523.522834802555,2152.9186845438967,21.352843967934398,-291.51214599609375,68.44054412841797,11.847874641418457,13.831493377685547,12.819581985473633,9.76635456085205,-17.38663673400879,0.3198332190513611,-18.53285789489746,-7.369760036468506,-7.787717342376709,-4.943061351776123,-6.526586532592773,-5.593790531158447,-2.066967248916626,-0.5547540783882141,-9.595600128173828,-3.842849016189575,-1.99063241481781,-4.145058631896973
ARTIFICIAL,-40.95124435424805,7.56,0.054193437,0.13994050757285276,2434.784088288653,2343.016776507603,23.083543543445753,-293.6617126464844,74.37689208984375,14.509418487548828,11.092448234558105,13.321545600891113,4.181856155395508,-20.70355796813965,-3.503477096557617,-22.335906982421875,-5.999359130859375,-8.973143577575684,-4.48338508605957,-8.536962509155273,-5.25372314453125,-1.6985273361206055,-2.920435905456543,-10.939891815185547,-1.7743040323257446,-3.3020966053009033,-4.973323345184326
ARTIFICIAL,-44.83565902709961,7.56,0.05286157,0.1171830066142638,1905.151293419955,1683.794017917285,20.44397507146475,-341.9391174316406,104.81000518798828,-16.09214973449707,28.876432418823242,14.335955619812012,4.2708659172058105,-4.6889543533325195,-3.7669272422790527,-17.20328140258789,-2.296525716781616,-12.803900718688965,-4.600800037384033,-1.0582879781723022,-6.832645893096924,-6.481538772583008,10.151839256286621,-6.943911075592041,-7.151083469390869,0.2929086983203888,-0.016366127878427505
ARTIFICIAL,-35.19786721440178,7.56,0.055420186,0.2426892614072086,3601.87327549682,3009.278134967459,15.390445400986154,-191.46906142111106,47.09082444698116,7.902796559146619,14.134920245274238,10.812888178878913,2.7092888620619084,-3.182192250966837,-7.783644154985933,-9.324662957092352,-7.257849561738773,-6.884610629519796,-4.6369333133725705,-2.4176921259265773,-6.364978633401834,-2.736526872777741,3.222714673916033,-3.7234679493763276,-5.5177222152984,0.29195875352993783,-2.806606282524005
ARTIFICIAL,-44.84123992919922,7.56,0.03664073,0.12498052866180982,2011.3639685641474,1776.255835324437,21.57533426450984,-348.8310546875,104.86279296875,-18.258201599121094,29.815645217895508,10.436026573181152,2.788949489593506,-6.820065498352051,-5.7844157218933105,-17.660615921020508,-2.990396022796631,-10.994356155395508,-5.284758567810059,-1.933129072189331,-7.852080821990967,-6.7035698890686035,10.548903465270996,-8.234908103942871,-7.540812015533447,0.8663891553878784,-0.633913516998291
ARTIFICIAL,-44.836299896240234,7.56,0.052913714,0.11631428537193252,1906.1608341366987,1682.3397824237259,20.563640599851098,-342.9917297363281,105.02017974853516,-16.222240447998047,28.89271354675293,14.270402908325195,4.347111225128174,-4.76765775680542,-3.6115682125091553,-17.293886184692383,-2.2160816192626953,-12.84160327911377,-4.578142166137695,-1.083868145942688,-6.755707263946533,-6.538773536682129,10.216469764709473,-6.982501029968262,-7.076625823974609,0.2108013927936554,0.019050130620598793
ARTIFICIAL,-45.434024810791016,7.56,0.037943114,0.1296266895130368,2093.6297700988125,1889.8861062585681,24.68135488055088,-355.15533447265625,105.1860122680664,-14.69753646850586,30.238454818725586,12.296353340148926,0.691694974899292,-5.816319942474365,-8.774027824401855,-15.915146827697754,-4.276432514190674,-12.230542182922363,-4.135234355926514,-1.1731054782867432,-8.878217697143555,-0.6144841313362122,5.683626651763916,-11.505388259887695,-6.006389141082764,2.460235357284546,-7.720519065856934
