SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.49083021, 0.09548301, -0.86407727, -0.11741235, 0.74782670, 0.04972605, -6.60312891, 53.83977127, -115.28476715, 78.46263885, 28.89780235, 178.81756592, -0.16553913, -0.18694501, 0.61441028, 0.74843061, 0.00046544, 0.00011934, 0.00000242, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, 0.49085626, 0.09549202, -0.86406189, -0.11908321, 0.73811573, 0.04672214, -6.60281706, 53.83700943, -115.28096771, 78.46101379, 28.89654541, 178.81663513, -0.16553584, -0.18693411, 0.61440283, 0.74844015, 0.00060546, -0.00205150, 0.00054682, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, 0.49087358, 0.09549832, -0.86403900, -0.11895350, 0.72852129, 0.04407876, -6.60250854, 53.83045197, -115.27825928, 78.46019745, 28.89514542, 178.81552124, -0.16553444, -0.18692012, 0.61440122, 0.74844533, 0.00160034, -0.00210158, -0.00065194, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, 0.49087560, 0.09551162, -0.86401588, -0.11810629, 0.71868426, 0.04144474, -6.60220432, 53.82397079, -115.27557373, 78.45985413, 28.89364624, 178.81459045, -0.16553190, -0.18690586, 0.61440241, 0.74844849, 0.00358575, -0.00277365, 0.00105841, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, 0.49085665, 0.09553039, -0.86398453, -0.11744175, 0.70894575, 0.03797428, -6.60120392, 53.82247162, -115.27223969, 78.45890045, 28.89237595, 178.81285095, -0.16553493, -0.18688948, 0.61440068, 0.74845326, 0.00603412, -0.00306175, 0.00066491, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, 0.49082765, 0.09555753, -0.86395222, -0.11466121, 0.70106196, 0.03424178, -6.60021496, 53.82098770, -115.26894379, 78.45881653, 28.89183235, 178.81080627, -0.16554533, -0.18687510, 0.61440426, 0.74845171, 0.00623780, -0.00339759, 0.00197927, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, 0.49080589, 0.09558231, -0.86392415, -0.11191034, 0.69377691, 0.02987716, -6.59538460, 53.81303406, -115.26499176, 78.45888519, 28.89149857, 178.80873108, -0.16555724, -0.18686165, 0.61440855, 0.74844891, 0.00545942, -0.00305614, 0.00137531, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, 0.49079379, 0.09560469, -0.86389577, -0.10777028, 0.68744820, 0.02557606, -6.58677959, 53.79872513, -115.26036835, 78.43153381, 28.87332344, 178.79776001, -0.16548747, -0.18672314, 0.61427146, 0.74861139, 0.00402933, -0.00338187, 0.00098177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, 0.49080145, 0.09562518, -0.86387515, -0.10240879, 0.68032974, 0.02093272, -6.57827759, 53.78459167, -115.25580597, 78.43249512, 28.87284470, 178.79528809, -0.16550262, -0.18670534, 0.61428243, 0.74860346, 0.00183841, -0.00204771, 0.00113528, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, 0.49082813, 0.09564303, -0.86385530, -0.09674051, 0.67311352, 0.01632764, -6.58560085, 53.79088974, -115.24360657, 78.43391418, 28.87240791, 178.79301453, -0.16551755, -0.18668820, 0.61429596, 0.74859333, -0.00011555, -0.00223981, 0.00029000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
