SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.24723612, -0.02463969, -0.96866781, 0.14045101, -0.26651835, -0.21039262, -9.03435802, 49.41598892, -123.13205719, 87.51859283, 14.07421303, 93.70915222, -0.55201620, 0.40484998, 0.56133634, 0.46505508, 0.00075404, -0.00282278, 0.00186486, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, 0.24721102, -0.02463330, -0.96866030, 0.14994377, -0.27447891, -0.21399745, -9.03398705, 49.41790009, -123.13648987, 87.52362823, 14.06947231, 93.70605469, -0.55199277, 0.40491346, 0.56132805, 0.46503752, 0.00066479, -0.00065377, 0.00185769, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, 0.24719408, -0.02463310, -0.96865165, 0.15844971, -0.28306651, -0.21637550, -9.03361988, 49.41979218, -123.14086151, 87.52825928, 14.06398678, 93.70400238, -0.55196363, 0.40497366, 0.56131917, 0.46503055, -0.00040348, -0.00098165, 0.00100032, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, 0.24718212, -0.02464602, -0.96866232, 0.16633153, -0.29209521, -0.21667533, -9.03133011, 49.42131042, -123.14255524, 87.53310394, 14.05847931, 93.70285034, -0.55193001, 0.40503055, 0.56131411, 0.46502689, -0.00053271, 0.00029904, -0.00030279, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, 0.24715634, -0.02467422, -0.96866530, 0.17321567, -0.29965928, -0.21536134, -9.02715015, 49.42247009, -123.14161682, 87.53776550, 14.05363655, 93.70261383, -0.55189592, 0.40507871, 0.56131411, 0.46502554, 0.00082527, -0.00013234, -0.00140358, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, 0.24710201, -0.02469591, -0.96867591, 0.18037751, -0.30697221, -0.21267706, -9.02301979, 49.42361069, -123.14068604, 87.54255676, 14.04878235, 93.70290375, -0.55185914, 0.40512496, 0.56131643, 0.46502608, 0.00421719, 0.00124179, -0.00042119, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, 0.24701457, -0.02472323, -0.96870404, 0.18689997, -0.31213719, -0.20890291, -9.02453136, 49.43347168, -123.14324951, 87.54722595, 14.04546928, 93.70400238, -0.55182546, 0.40515888, 0.56132686, 0.46502391, 0.00726035, 0.00225077, -0.00208976, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, 0.24690981, -0.02476457, -0.96871847, 0.19314037, -0.31482941, -0.20386925, -9.02602386, 49.44321442, -123.14578247, 87.55174255, 14.04299068, 93.70549774, -0.55179381, 0.40518582, 0.56134117, 0.46502051, 0.00864291, 0.00062768, -0.00339463, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, 0.24678914, -0.02480336, -0.96871591, 0.19908997, -0.31402913, -0.19772060, -9.02785015, 49.45232010, -123.14951324, 87.59906769, 13.92216015, 93.72889709, -0.55106628, 0.40591103, 0.56116438, 0.46546417, 0.00957252, -0.00118412, -0.00271953, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, 0.24664724, -0.02484461, -0.96870679, 0.20492700, -0.30925265, -0.19114321, -9.03000355, 49.46078873, -123.15443420, 87.60343170, 13.92367458, 93.73112488, -0.55104756, 0.40591341, 0.56119567, 0.46544647, 0.01046631, -0.00133863, -0.00217155, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 10, 0.24651924, -0.02485397, -0.96873373, 0.21028784, -0.29950118, -0.18513313, -9.03212929, 49.46915436, -123.15929413, 87.60740662, 13.92776203, 93.73329926, -0.55104041, 0.40590113, 0.56123471, 0.46541846, 0.00795185, 0.00252430, 0.00117913, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 11, 0.24642554, -0.02486758, -0.96875513, 0.21520016, -0.28690639, -0.17907116, -9.03073597, 49.47427368, -123.16162872, 87.61112976, 13.93304729, 93.73569489, -0.55103785, 0.40588060, 0.56127816, 0.46538714, 0.00540150, 0.00018813, 0.00101623, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 12, 0.24635488, -0.02486135, -0.96876603, 0.21984932, -0.27201289, -0.17228876, -9.02935982, 49.47933578, -123.16394043, 87.61468506, 13.93968487, 93.73854065, -0.55103934, 0.40585014, 0.56132746, 0.46535248, 0.00334345, 0.00030793, 0.00326874, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 13, 0.24632011, -0.02485491, -0.96877450, 0.22406016, -0.25502148, -0.16445494, -9.02729893, 49.47557449, -123.16430664, 87.61804199, 13.94718456, 93.74160004, -0.55104393, 0.40581328, 0.56137991, 0.46531579, -0.00027610, -0.00030579, 0.00293091, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 14, 0.24630719, -0.02485188, -0.96878290, 0.22820507, -0.23664097, -0.15594992, -9.02456474, 49.46314621, -123.16275787, 87.62152100, 13.95535564, 93.74540710, -0.55104762, 0.40577000, 0.56143814, 0.46527904, -0.00155620, 0.00022744, 0.00275715, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 15, 0.24630108, -0.02486640, -0.96878564, 0.23051226, -0.21794581, -0.14680763, -9.02186489, 49.45086670, -123.16122437, 87.62418365, 13.96364117, 93.74960327, -0.55105305, 0.40572029, 0.56149471, 0.46524751, -0.00269210, -0.00090078, 0.00108860, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 16, 0.24631166, -0.02489670, -0.96878582, 0.23245236, -0.20030792, -0.13813274, -9.02024460, 49.44991684, -123.16353607, 87.62656403, 13.97139072, 93.75322723, -0.55105978, 0.40567476, 0.56154615, 0.46521717, -0.00388930, -0.00064007, -0.00048198, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 17, 0.24634916, -0.02493868, -0.96879780, 0.23190209, -0.18512905, -0.12995371, -9.01864529, 49.44897461, -123.16582489, 87.62744904, 13.97762489, 93.75679016, -0.55106622, 0.40562999, 0.56158572, 0.46520096, -0.00742602, 0.00114081, -0.00124978, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 18, 0.24640775, -0.02498059, -0.96882373, 0.22888231, -0.17186260, -0.12224729, -9.01864052, 49.44489670, -123.16668701, 87.62700653, 14.06933975, 93.75306702, -0.55143613, 0.40518147, 0.56191319, 0.46475786, -0.00807173, 0.00251249, -0.00050325, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 19, 0.24647397, -0.02502355, -0.96883607, 0.22340298, -0.15979794, -0.11412004, -9.02020454, 49.43773270, -123.16616821, 87.62570953, 14.07418156, 93.75679016, -0.55144417, 0.40513241, 0.56193912, 0.46475950, -0.00793710, 0.00047716, -0.00154786, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 20, 0.24654254, -0.02506529, -0.96883965, 0.21730696, -0.15098274, -0.10653052, -9.02174950, 49.43065643, -123.16564941, 87.62424469, 14.07709980, 93.75988007, -0.55144811, 0.40509546, 0.56195503, 0.46476799, -0.00786082, 0.00011246, -0.00042828, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1050, 21, 0.24660406, -0.02509363, -0.96883500, 0.20951502, -0.14400543, -0.10044633, -9.01628685, 49.43204117, -123.16723633, 87.62164307, 14.07958794, 93.76260376, -0.55145586, 0.40505698, 0.56196344, 0.46478224, -0.00728679, -0.00076860, 0.00017129, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 22, 0.24666135, -0.02511635, -0.96882051, 0.20038800, -0.13850303, -0.09394739, -9.01089001, 49.43341064, -123.16879272, 87.61858368, 14.08099365, 93.76528168, -0.55146122, 0.40502200, 0.56196570, 0.46480358, -0.00678435, -0.00214056, 0.00079207, 0.00000000, 0.00000000, 0.00000000, 0.00000000
