SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.18883695, -0.61426073, -0.77252799, -6.17581224, 0.23617966, -1.67647815, -15.14177132, 0.02923122, -110.75708771, -16.75506592, -1.32367921, -4.03849888, 0.98859000, 0.14599752, 0.00628741, 0.03653882, 0.00362366, -0.00466254, 0.00358994, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, -0.18962662, -0.61171198, -0.77467829, -6.10700226, 0.51511735, -1.80514205, -15.14177132, 0.02923122, -110.75708771, -16.78441811, -1.31747365, -4.04880476, 0.98855025, 0.14624952, 0.00621136, 0.03662147, 0.00465305, -0.00738127, 0.00298630, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, -0.18944383, -0.60937458, -0.77519006, -5.78921986, 0.86634696, -1.79465222, -14.96638393, 1.14001751, -111.10786438, -16.81249619, -1.30987549, -4.05772877, 0.98851252, 0.14648999, 0.00612542, 0.03669031, 0.00488035, -0.00864410, 0.00147567, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, -0.18804537, -0.60655469, -0.77520418, -5.47087145, 1.11320877, -1.64961362, -14.96638393, 1.14001751, -111.10786438, -16.83928108, -1.30170321, -4.06508303, 0.98847705, 0.14671905, 0.00603693, 0.03674477, 0.00403435, -0.00979026, -0.00091652, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, -0.18786246, -0.60328370, -0.77655154, -5.08064222, 1.43059170, -1.71011007, -15.37562084, 0.90616781, -110.58170319, -16.86435699, -1.29201496, -4.07137346, 0.98844439, 0.14693287, 0.00593724, 0.03678800, 0.00434294, -0.01231860, -0.00273922, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, -0.18670750, -0.60230386, -0.77647156, -4.40652895, 1.89017773, -1.62915003, -15.37562084, 0.90616781, -110.58170319, -16.88652992, -1.28064144, -4.07539749, 0.98841619, 0.14712100, 0.00582684, 0.03680933, 0.00354072, -0.01241818, -0.00366454, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, -0.18445861, -0.60228628, -0.77385366, -3.62429810, 2.28149247, -1.51692116, -15.37562084, 0.90616781, -110.58170319, -16.90522575, -1.26791060, -4.07714796, 0.98839349, 0.14727862, 0.00570877, 0.03680910, 0.00179308, -0.00993622, -0.00541697, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, -0.18524843, -0.60099089, -0.77438468, -2.94859004, 2.60205984, -1.40648270, -15.66793346, -0.17538731, -110.61093140, -17.05648613, -1.30383754, -4.05272722, 0.98820084, 0.14859240, 0.00600170, 0.03665235, 0.00250537, -0.00970070, -0.00561096, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, -0.18263580, -0.60322541, -0.77616227, -2.37895846, 2.81713247, -1.29911399, -15.66793346, -0.17538731, -110.61093140, -17.06959534, -1.28940582, -4.05102968, 0.98818654, 0.14870118, 0.00587524, 0.03661977, -0.00073748, -0.00855269, -0.00282636, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, -0.18433823, -0.60653663, -0.77609587, -1.77288043, 2.99790907, -1.22787809, -15.28792763, -0.11692487, -111.07862854, -17.07991409, -1.27434349, -4.04801035, 0.98817623, 0.14878562, 0.00574596, 0.03657481, 0.00074564, -0.00644930, 0.00017257, 0.00000000, 0.00000000, 0.00000000, 0.00000000
