SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
0, 0.0000, 0, 0.45354861, -0.02215407, -0.88880521, -0.10162169, 0.50170994, -0.07323989, 0.93539900, 40.36831284, -114.14791107, 74.10181427, 29.33196449, 62.02941513, -0.74031657, 0.39544362, 0.47351781, 0.26708919, 0.03909635, 0.05028564, -0.18292767, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0050, 1, 0.45415631, -0.02233746, -0.88880497, -0.06332654, 0.29361561, -0.04657648, 0.93539900, 40.36831284, -114.14791107, 74.10108948, 29.33332253, 62.02880859, -0.74032199, 0.39543521, 0.47352090, 0.26708105, 0.03850433, 0.05031337, -0.18307722, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0100, 2, 0.45281947, -0.02211944, -0.88729239, -0.02841487, 0.36352715, -0.04427365, 0.73078048, 39.72522736, -114.35252380, 74.10047150, 29.33502960, 62.02808380, -0.74032772, 0.39542630, 0.47352567, 0.26706997, 0.03987058, 0.04880692, -0.18303874, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0150, 3, 0.45251584, -0.02050803, -0.88836235, 0.00725679, 0.32910258, 0.05798135, 0.73078048, 39.72522736, -114.35252380, 74.10034180, 29.33669281, 62.02798080, -0.74033022, 0.39541823, 0.47353351, 0.26706105, 0.04031537, 0.04980549, -0.18139504, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0200, 4, 0.45196831, -0.02269800, -0.88930535, 0.00955209, 0.12055823, 0.11949792, 0.14615609, 41.47909927, -114.06021881, 74.10060120, 29.33742523, 62.02849960, -0.74032891, 0.39541444, 0.47353959, 0.26705948, 0.04072964, 0.05087020, -0.18356067, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0250, 5, 0.45148224, -0.02304022, -0.88725114, -0.13200225, 0.04952042, -0.02042403, 0.14615609, 41.47909927, -114.06021881, 74.09986115, 29.33758926, 62.02835083, -0.74033201, 0.39540946, 0.47353816, 0.26706070, 0.04118686, 0.04884046, -0.18404931, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0300, 6, 0.45123932, -0.02205811, -0.88735962, -0.13276221, 0.15385647, -0.12037609, 0.14615609, 41.47909927, -114.06021881, 74.09871674, 29.33816528, 62.02751160, -0.74033856, 0.39540297, 0.47353557, 0.26705691, 0.04150294, 0.04890397, -0.18309449, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0350, 7, 0.45130008, -0.02186069, -0.88814473, -0.09695623, 0.15427445, -0.12063231, 0.61385560, 40.48523712, -113.73867035, 74.09775543, 29.33873558, 62.02663040, -0.74034458, 0.39539772, 0.47353324, 0.26705223, 0.04146882, 0.04968749, -0.18286653, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0400, 8, 0.45221138, -0.02320574, -0.88828069, -0.06173173, 0.15459666, -0.01709781, 0.61385560, 40.48523712, -113.73867035, 74.09725952, 29.33945274, 62.02636337, -0.74034768, 0.39539227, 0.47353476, 0.26704878, 0.04047702, 0.04990266, -0.18414673, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0450, 9, 0.45208961, -0.02366656, -0.88998550, 0.06601275, -0.00494257, 0.01310306, 0.20461853, 40.10523224, -114.14791107, 74.09763336, 29.33946419, 62.02643204, -0.74034631, 0.39539438, 0.47353595, 0.26704764, 0.04057800, 0.05163073, -0.18451968, 0.00000000, 0.00000000, 0.00000000, 0.00000000
