SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
0, -0.0000, 0, 0.57745969, -0.09169196, -0.80268615, 0.89266360, 2.09936213, -0.58754134, 3.71236467, 38.14673996, -108.71089935, 96.66188812, -27.46896172, 68.50066376, -0.43400747, 0.68863922, 0.27792332, 0.51007074, -1.04081273, -0.07485256, 0.09358135, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0050, 1, 0.57612360, -0.08802454, -0.80221611, 0.88538998, 2.72493100, -0.70289707, 3.71236467, 38.14673996, -108.71089935, 96.66594696, -27.45466805, 68.49938965, -0.43405604, 0.68863070, 0.27801272, 0.50999236, -1.03901386, -0.07561812, 0.09719170, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0100, 2, 0.57685274, -0.08768637, -0.80402672, 0.87938309, 3.17660666, -0.65166605, 3.71236467, 38.14673996, -108.71089935, 96.66947937, -27.43819427, 68.49880981, -0.43411478, 0.68861425, 0.27811605, 0.50990808, -1.03946471, -0.07394784, 0.09774695, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0150, 3, 0.57661027, -0.08575031, -0.80260605, 1.01755393, 3.52565074, -0.53610456, 3.94621444, 38.14673996, -108.06781769, 96.67314148, -27.42006683, 68.49922180, -0.43417615, 0.68859279, 0.27823502, 0.50981987, -1.03882086, -0.07560255, 0.09965809, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0200, 4, 0.57995260, -0.08692263, -0.80200052, 1.08302462, 3.94332004, -0.38287479, 3.94621444, 38.14673996, -108.06781769, 96.67641449, -27.39997673, 68.50087738, -0.43424356, 0.68856305, 0.27837059, 0.50972855, -1.04193354, -0.07629693, 0.09875773, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0250, 5, 0.58207959, -0.08926331, -0.79765826, 0.93570125, 4.18471575, -0.19990836, 3.62467122, 38.26366425, -107.48319244, 96.67830658, -27.37892342, 68.50376892, -0.43431833, 0.68852335, 0.27851275, 0.50964093, -1.04390955, -0.08067228, 0.09640313, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0300, 6, 0.58724332, -0.09115751, -0.81548595, 0.97022533, 4.25456333, -0.12841162, 3.62467122, 38.26366425, -107.48319244, 96.68013000, -27.35756111, 68.50711823, -0.43439284, 0.68848157, 0.27865911, 0.50955391, -1.04879761, -0.06293645, 0.09585074, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0350, 7, 0.58803403, -0.08827467, -0.81562334, 1.29177880, 4.32785082, -0.16275540, 3.62467122, 38.26366425, -107.48319244, 96.68358612, -27.33568764, 68.51037598, -0.43446040, 0.68844521, 0.27881479, 0.50946015, -1.04904819, -0.06311889, 0.09885333, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0400, 8, 0.58785373, -0.08835079, -0.79349530, 0.89983582, 4.21910810, -0.26756653, 3.94621444, 37.97135162, -107.65857697, 96.68544006, -27.31441879, 68.51292419, -0.43453786, 0.68840563, 0.27895594, 0.50937039, -1.04862070, -0.08537877, 0.09766549, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0450, 9, 0.59490436, -0.08530331, -0.79226691, 0.15229133, 3.68874502, 0.13378389, 3.94621444, 37.97135162, -107.65857697, 96.68298340, -27.29634094, 68.51715851, -0.43461877, 0.68835169, 0.27907032, 0.50931168, -1.05515361, -0.08691955, 0.10111851, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0500, 10, 0.60037470, -0.07979490, -0.79877186, 0.08298801, 3.13116288, 0.97874647, 3.68313360, 38.29289627, -107.19087982, 96.67848206, -27.28173447, 68.52555084, -0.43467709, 0.68828642, 0.27918142, 0.50928926, -1.05996764, -0.08084233, 0.10727967, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0550, 11, 0.59885621, -0.07337719, -0.80499369, 0.08039325, 3.06109428, 1.59893179, 3.68313360, 38.29289627, -107.19087982, 96.67246246, -27.26799774, 68.53733063, -0.43472543, 0.68820864, 0.27930126, 0.50928724, -1.05777335, -0.07508551, 0.11381973, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0600, 12, 0.59101653, -0.07271451, -0.80465752, -0.24996909, 3.71758413, 1.55635560, 3.68313360, 38.29289627, -107.19087982, 96.66439819, -27.25111771, 68.54944611, -0.43479922, 0.68811631, 0.27943152, 0.50927746, -1.04966021, -0.07559645, 0.11381716, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0650, 13, 0.58572918, -0.07253717, -0.80449808, -0.39861849, 4.16768360, 1.50482082, 4.20929527, 38.08827972, -107.16164398, 96.65539551, -27.23202133, 68.56169891, -0.43488860, 0.68801588, 0.27957055, 0.50926071, -1.04408431, -0.07592927, 0.11349934, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0700, 14, 0.58500040, -0.07333820, -0.79717654, -0.51174605, 4.44405222, 1.89639199, 4.20929527, 38.08827972, -107.16164398, 96.64463043, -27.21193695, 68.57637787, -0.43498230, 0.68790084, 0.27972171, 0.50925297, -1.04312921, -0.08337505, 0.11212997, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0750, 15, 0.58560830, -0.07415044, -0.79269862, -0.73056233, 4.61498976, 2.21569920, 3.88775206, 37.94212341, -107.33703613, 96.63184357, -27.19135666, 68.59296417, -0.43508202, 0.68777251, 0.27987820, 0.50925529, -1.04349422, -0.08798658, 0.11095942, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0800, 16, 0.58767444, -0.07666343, -0.78902602, -0.91491419, 4.89058638, 2.53858924, 3.88775206, 37.94212341, -107.33703613, 96.61712646, -27.16973877, 68.61158752, -0.43518910, 0.68762970, 0.28004396, 0.50926548, -1.04540873, -0.09171822, 0.10820314, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.0850, 17, 0.58894932, -0.08138956, -0.79205769, -0.95519185, 5.23763609, 2.55164099, 3.88775206, 37.94212341, -107.54165649, 96.60192871, -27.14643669, 68.63059998, -0.43530527, 0.68748081, 0.28021911, 0.50927079, -1.04664254, -0.08865000, 0.10352841, 0.00000000, 0.00000000, 0.00000000, 0.00000000
