SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0001, 0, 0.94857121, 0.06571040, -0.30644721, -0.19284447, -0.05548960, -0.52127928, -1.77805567, 53.20109177, -96.43383789, 63.25774384, 70.17372894, -127.07543945, 0.04061191, -0.62937582, 0.16606236, 0.75806344, 0.00240841, 0.00000246, 0.00078592, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0049, 1, 0.94855297, 0.06577681, -0.30645245, -0.19312128, -0.05546796, -0.51852411, -1.77077794, 53.20179367, -96.42964935, 63.25426102, 70.17315674, -127.07806396, 0.04061669, -0.62936831, 0.16605660, 0.75807065, 0.00218831, 0.00033794, 0.00116803, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0099, 2, 0.94853586, 0.06583884, -0.30645442, -0.19253041, -0.05353001, -0.51504248, -1.76358724, 53.20248795, -96.42551422, 63.25096893, 70.17373657, -127.08097076, 0.04061255, -0.62936538, 0.16604787, 0.75807518, 0.00216625, -0.00096299, 0.00081428, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0149, 3, 0.94852233, 0.06590881, -0.30645621, -0.19160540, -0.05056879, -0.51104349, -1.77115858, 53.20736694, -96.41932678, 63.24734116, 70.17462158, -127.08421326, 0.04060639, -0.62936330, 0.16603705, 0.75807971, 0.00179234, -0.00031924, 0.00148868, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0199, 4, 0.94851249, 0.06597695, -0.30646276, -0.18944269, -0.04779720, -0.50606269, -1.77863955, 53.21218872, -96.41321564, 63.20086288, 70.15964508, -127.12814331, 0.04064966, -0.62921911, 0.16604671, 0.75819498, 0.00187072, 0.00025182, 0.00128096, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0249, 5, 0.94849557, 0.06603871, -0.30647701, -0.18731724, -0.04436030, -0.49989852, -1.78217590, 53.21309280, -96.40822601, 63.20096588, 70.16147614, -127.12812805, 0.04063955, -0.62922686, 0.16603811, 0.75819075, 0.00236754, 0.00126275, 0.00003827, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0299, 6, 0.94847775, 0.06608795, -0.30649185, -0.18468578, -0.04078054, -0.49258602, -1.78183770, 53.21015549, -96.40434265, 63.20287704, 70.16339111, -127.12658691, 0.04062933, -0.62923795, 0.16603269, 0.75818342, 0.00209801, 0.00035107, -0.00047818, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0349, 7, 0.94846869, 0.06613925, -0.30649412, -0.18137731, -0.03636021, -0.48549256, -1.78150368, 53.20725250, -96.40051270, 63.20375061, 70.16587830, -127.12627411, 0.04061350, -0.62924933, 0.16602412, 0.75817662, 0.00082965, -0.00058732, -0.00049498, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0399, 8, 0.94848269, 0.06617324, -0.30649638, -0.17883173, -0.03130079, -0.47757697, -1.77942657, 53.21591187, -96.40057373, 63.20469284, 70.16859436, -127.12512207, 0.04060162, -0.62926304, 0.16601022, 0.75816900, -0.00140471, 0.00077976, -0.00218565, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0449, 9, 0.94849777, 0.06621030, -0.30651796, -0.17700823, -0.02716833, -0.47028354, -1.77737427, 53.22446823, -96.40063477, 63.20690155, 70.17054749, -127.12307739, 0.04059273, -0.62927508, 0.16600372, 0.75816077, -0.00044918, 0.00084546, -0.00087286, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0499, 10, 0.94851184, 0.06626432, -0.30651706, -0.17338105, -0.02652250, -0.46199581, -1.77411962, 53.22065735, -96.40121460, 63.21260834, 70.17130280, -127.11800385, 0.04059094, -0.62928772, 0.16600981, 0.75814909, -0.00147755, -0.00043029, 0.00006830, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0549, 11, 0.94853067, 0.06631804, -0.30651182, -0.16869630, -0.02812417, -0.45267388, -1.76968443, 53.20469284, -96.40230560, 63.22127914, 70.17133331, -127.11046600, 0.04059313, -0.62930185, 0.16602558, 0.75813383, -0.00101016, -0.00140009, 0.00069237, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0599, 12, 0.94854110, 0.06638385, -0.30649477, -0.16368683, -0.03074635, -0.44348487, -1.76530230, 53.18891907, -96.40337372, 63.23143387, 70.17082214, -127.10177612, 0.04059763, -0.62931579, 0.16604772, 0.75811720, -0.00045326, -0.00198374, 0.00176893, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0649, 13, 0.94854027, 0.06645001, -0.30648398, -0.15906702, -0.03507845, -0.43375942, -1.76900947, 53.17018509, -96.40164185, 63.24227905, 70.16983032, -127.09199524, 0.04060774, -0.62932968, 0.16607071, 0.75810009, 0.00097482, -0.00205994, 0.00140865, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0699, 14, 0.94853663, 0.06651141, -0.30646485, -0.15432309, -0.03867103, -0.42427891, -1.77267241, 53.15167618, -96.39994049, 63.13094711, 70.17188263, -127.19670105, 0.04051551, -0.62914735, 0.16589864, 0.75829393, 0.00093641, -0.00242088, 0.00142167, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0749, 15, 0.94854504, 0.06658272, -0.30645484, -0.14944081, -0.04274704, -0.41474125, -1.77594101, 53.14373398, -96.39842987, 63.14215469, 70.17095947, -127.18695068, 0.04052345, -0.62916148, 0.16592392, 0.75827628, -0.00045877, -0.00204260, 0.00121409, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0799, 16, 0.94855678, 0.06663578, -0.30643731, -0.14460398, -0.04695581, -0.40565115, -1.77882206, 53.14617157, -96.39710999, 63.15249634, 70.16971588, -127.17791748, 0.04053294, -0.62917286, 0.16594920, 0.75826091, -0.00109034, -0.00109963, 0.00014423, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0849, 17, 0.94858086, 0.06668459, -0.30643415, -0.13943204, -0.05337208, -0.39639038, -1.78166854, 53.14857483, -96.39580536, 63.16548920, 70.16755676, -127.16619873, 0.04055056, -0.62918520, 0.16598171, 0.75824261, -0.00185491, -0.00114083, -0.00011984, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0899, 18, 0.94859654, 0.06672504, -0.30643570, -0.13429148, -0.06145795, -0.38659647, -1.77889013, 53.15653992, -96.39031982, 63.18020630, 70.16468811, -127.15308380, 0.04057155, -0.62919706, 0.16602165, 0.75822282, -0.00090528, 0.00012666, -0.00108409, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0949, 19, 0.94861597, 0.06675519, -0.30644828, -0.12827756, -0.07187879, -0.37716812, -1.77614498, 53.16440964, -96.38490295, 63.19656754, 70.16072083, -127.13871765, 0.04059769, -0.62920672, 0.16607106, 0.75820261, -0.00192561, 0.00096136, -0.00224782, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0999, 20, 0.94863284, 0.06677917, -0.30647403, -0.12176733, -0.08426999, -0.36687893, -1.77781379, 53.17393494, -96.38323212, 63.21551132, 70.15597534, -127.12187195, 0.04062995, -0.62921762, 0.16612783, 0.75817937, -0.00118153, 0.00190118, -0.00160949, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1049, 21, 0.94862580, 0.06681456, -0.30648494, -0.11405727, -0.09808320, -0.35572430, -1.78381753, 53.18508911, -96.38523102, 63.23678207, 70.15079498, -127.10337830, 0.04066272, -0.62922984, 0.16619326, 0.75815314, 0.00167735, 0.00022814, -0.00116768, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1099, 22, 0.94861674, 0.06683973, -0.30650902, -0.10693727, -0.11280219, -0.34644085, -1.78974938, 53.19611359, -96.38720703, 63.25587845, 70.14492035, -127.08684540, 0.04069813, -0.62923557, 0.16625848, 0.75813222, 0.00045073, 0.00200634, -0.00249138, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1149, 23, 0.94859380, 0.06686945, -0.30652732, -0.10008936, -0.12581581, -0.33684611, -1.79106784, 53.20560837, -96.38951874, 63.27413559, 70.14007568, -127.07091522, 0.04072870, -0.62924445, 0.16631639, 0.75811052, 0.00293179, 0.00041278, -0.00135361, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1199, 24, 0.94857264, 0.06689630, -0.30653793, -0.09404378, -0.13680039, -0.32813323, -1.79237056, 53.21498489, -96.39179993, 63.34892654, 70.12136841, -127.00215149, 0.04087120, -0.62929106, 0.16652837, 0.75801760, 0.00240381, 0.00008950, -0.00166095, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1249, 25, 0.94855231, 0.06692465, -0.30656266, -0.08809426, -0.14490284, -0.31923392, -1.79470909, 53.21846390, -96.39301300, 63.36342621, 70.11861420, -126.98983002, 0.04088762, -0.62930238, 0.16657060, 0.75799805, 0.00194230, 0.00137295, -0.00111981, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1299, 26, 0.94853526, 0.06695893, -0.30659306, -0.08205939, -0.15032326, -0.31032896, -1.79806471, 53.21615219, -96.39316559, 63.37660980, 70.11699677, -126.97880554, 0.04089673, -0.62931621, 0.16660541, 0.75797844, 0.00164578, 0.00141284, -0.00078726, 0.00000000, 0.00000000, 0.00000000, 0.00000000
