SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.11590728, 0.13092670, -0.93785828, 1.88655305, -1.55274892, -1.24978495, -24.70038033, 21.77725792, -127.82811737, 10.83842754, -8.87346745, 8.60669422, 0.98920071, -0.09967244, 0.06972992, -0.08176300, -0.00569284, 0.00118856, -0.04675341, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.11365598, 0.14169955, -0.93533063, 3.37007475, -0.68270046, -2.75133324, -24.87576675, 21.39725113, -127.36042023, 10.87554646, -8.88403988, 8.57899666, 0.98918039, -0.09998219, 0.06981897, -0.08155464, -0.00803560, -0.01071837, -0.04530514, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.11438380, 0.14742137, -0.93316132, 5.00254345, -0.43680450, -3.86177540, -24.43729782, 21.66033363, -127.27272797, 10.93044853, -8.89367104, 8.53924179, 0.98915350, -0.10043748, 0.06989796, -0.08125241, -0.00747979, -0.01764345, -0.04530490, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.11502069, 0.14925951, -0.92431664, 6.46473360, -0.66163254, -5.47256756, -24.32037354, 21.92341423, -127.27272797, 11.00198841, -8.90772438, 8.48316765, 0.98911995, -0.10102890, 0.07001811, -0.08082300, -0.00732538, -0.02342030, -0.05281282, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.11875683, 0.15443309, -0.92068386, 6.78136110, -1.09131181, -6.68433380, -24.32037354, 21.92341423, -127.27272797, 11.07815933, -8.92768002, 8.41546154, 0.98908561, -0.10165639, 0.07019688, -0.08030087, -0.00395520, -0.03075446, -0.05437000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.12264535, 0.15928221, -0.92133081, 6.34811211, -1.87763619, -7.47105360, -24.84653664, 21.42648315, -128.03273010, 10.83687496, -9.08776188, 8.31797028, 0.98924679, -0.09960385, 0.07183404, -0.07943442, -0.00099488, -0.03503086, -0.05214788, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.13103242, 0.15903065, -0.92307162, 4.63743544, -2.55796933, -7.39657402, -24.40806770, 21.07570839, -127.27272797, 10.89243126, -9.12361526, 8.24609089, 0.98922127, -0.10005836, 0.07216812, -0.07887647, 0.00516956, -0.03123390, -0.05109702, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.14102700, 0.17354162, -0.92815781, 1.99427509, -3.31906343, -6.88552999, -24.46652985, 20.16954041, -127.27272797, 10.92074966, -9.16637516, 8.18134022, 0.98920882, -0.10028562, 0.07257482, -0.07836853, 0.01480522, -0.04389063, -0.04162140, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.14777131, 0.18438116, -0.93694878, -0.84545481, -3.40613961, -4.77409506, -25.46039200, 21.42648315, -127.47734070, 10.91789722, -9.20708942, 8.13883400, 0.98920971, -0.10025638, 0.07296582, -0.07803139, 0.02123306, -0.05132644, -0.02984489, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.14047627, 0.19551480, -0.94091004, -2.48390198, -3.44409847, -3.06782746, -25.46039200, 21.42648315, -127.47734070, 10.89642334, -9.24580765, 8.11406136, 0.98921609, -0.10007638, 0.07333668, -0.07783385, 0.01354223, -0.06025698, -0.02211612, 0.00000000, 0.00000000, 0.00000000, 0.00000000
