SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.04375900, 0.32067868, -0.93933076, -1.06306255, 1.46427131, -1.51608753, -21.83572006, 25.34346581, -128.29582214, 0.09958499, 0.06495916, -0.04705140, 0.99999940, -0.00086928, -0.00056652, 0.00041109, -0.00769160, 0.00601728, -0.00654240, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.04151004, 0.32109120, -0.94379181, -1.58218122, 1.70196438, -2.07426453, -21.30955887, 25.78193474, -128.12043762, 0.08285572, 0.07420548, -0.07167023, 0.99999940, -0.00072346, -0.00064711, 0.00062591, -0.00512867, 0.00736485, -0.00227790, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.03819837, 0.32459950, -0.94660735, -1.92550492, 2.13272643, -2.48829746, -21.66033363, 26.80502701, -127.56504059, 0.06249481, 0.08614679, -0.10149071, 0.99999923, -0.00054604, -0.00075129, 0.00088608, -0.00149457, 0.00531280, 0.00141980, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.03719635, 0.32701001, -0.94430441, -2.44660664, 2.28304172, -2.49612284, -22.12803268, 26.30809593, -128.20812988, 0.09151788, 0.08453131, -0.13238026, 0.99999881, -0.00079950, -0.00073675, 0.00115582, -0.00038850, 0.00245340, 0.00000870, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.03804741, 0.32699928, -0.94187528, -2.89752793, 2.59064841, -2.60249352, -21.48494530, 25.16807938, -128.23735046, 0.06134816, 0.10041941, -0.16445155, 0.99999845, -0.00053662, -0.00087555, 0.00143558, -0.00124249, 0.00144372, -0.00225563, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.03871610, 0.32747719, -0.94113785, -3.25337410, 2.48237181, -2.75945616, -21.48494530, 25.16807938, -128.23735046, 0.02756409, 0.11475274, -0.19752224, 0.99999797, -0.00024227, -0.00100099, 0.00172395, -0.00168089, 0.00131698, -0.00276994, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.03579953, 0.32949930, -0.93948597, -3.61011386, 2.44358826, -2.91385961, -21.51417732, 25.75270271, -127.53580475, -0.00984226, 0.12818751, -0.23181094, 0.99999738, 0.00008363, -0.00111882, 0.00202283, 0.00145196, -0.00050989, -0.00376247, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.03418888, 0.32798931, -0.93727165, -3.84102702, 2.33671117, -3.00252533, -21.71879578, 25.46039200, -127.76965332, -0.04957765, 0.14029659, -0.26650006, 0.99999654, 0.00042980, -0.00122532, 0.00232512, 0.00318808, 0.00086214, -0.00640591, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.03443231, 0.32760355, -0.93266803, -4.28877449, 2.26181698, -2.81159854, -21.86495209, 25.31423569, -127.71119690, -0.08379155, 0.12369277, -0.29863530, 0.99999577, 0.00072840, -0.00108132, 0.00260529, 0.00286744, 0.00040167, -0.01086603, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.03628774, 0.33467105, -0.93025535, -4.17865038, 1.98495328, -2.66691732, -21.16340256, 24.55422401, -127.97427368, -0.12673672, 0.13355708, -0.32888913, 0.99999464, 0.00110264, -0.00116867, 0.00286880, 0.00083472, -0.00643010, -0.01074104, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.03978283, 0.33619398, -0.92782241, -3.81583643, 1.58948195, -2.61500072, -21.16340256, 24.55422401, -127.97427368, -0.16599242, 0.13984184, -0.35748079, 0.99999344, 0.00144474, -0.00122486, 0.00311783, -0.00259059, -0.00795997, -0.01240760, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.04452269, 0.33585501, -0.93283719, -3.09798074, 1.31956494, -2.30169106, -21.22186470, 25.34346581, -127.53580475, -0.19793437, 0.14460716, -0.38247567, 0.99999213, 0.00172308, -0.00126769, 0.00333554, -0.00707331, -0.00536914, -0.00762061, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.04509997, 0.33788663, -0.93868679, -1.80787790, 1.03881931, -1.83743393, -21.13417053, 26.01578522, -128.03273010, -0.21678622, 0.14826462, -0.40261477, 0.99999124, 0.00188726, -0.00130049, 0.00351101, -0.00735881, -0.00492577, -0.00141012, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.03935556, 0.33524629, -0.94569337, 0.07268911, 0.90419775, -1.63176334, -21.60187149, 26.60040855, -128.32504272, -0.17955700, 0.13545056, -0.42234713, 0.99999130, 0.00156256, -0.00118779, 0.00368381, -0.00143938, -0.00016027, 0.00412370, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.03421950, 0.33338127, -0.94789636, 1.17920113, 1.02104521, -1.25530159, -21.28032684, 25.89885902, -127.68196106, -0.16834389, 0.14088966, -0.43798652, 0.99999094, 0.00146437, -0.00123510, 0.00382033, 0.00362533, 0.00170327, 0.00540212, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.03008652, 0.33072382, -0.94498253, 1.42537045, 1.14510596, -0.73366272, -21.28032684, 25.89885902, -127.68196106, -0.15450405, 0.14924085, -0.44921651, 0.99999058, 0.00134318, -0.00130765, 0.00391838, 0.00774870, 0.00301376, 0.00163000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
