SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.06065716, 0.41824889, -0.91112840, 16.24039459, 7.04879093, -3.05420828, -53.28851318, 57.35165024, -117.94796753, 63.97487259, -6.23640490, -84.64831543, -0.64556181, 0.36001199, -0.39026514, -0.54893947, -0.01930106, -0.00629521, 0.02679468, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.05834885, 0.41299742, -0.91031271, 19.47891235, 5.67881823, -2.74852371, -52.67465591, 56.44548416, -118.47412872, 64.17095947, -6.18280935, -84.70188904, -0.64453715, 0.36120969, -0.39108932, -0.54877007, -0.01797826, -0.00689797, 0.02079261, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.05920107, 0.40597460, -0.90817285, 18.88139915, 4.85527563, -2.89532638, -53.43466949, 56.44548416, -117.86027527, 64.36138153, -6.13753843, -84.75329590, -0.64356178, 0.36233777, -0.39192411, -0.54857552, -0.01679278, -0.01021784, 0.01662803, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.06002322, 0.40032640, -0.91289485, 16.72253609, 4.18702650, -2.74781108, -53.43466949, 56.44548416, -117.86027527, 64.53018188, -6.09905243, -84.79991150, -0.64269477, 0.36332384, -0.39267659, -0.54840165, -0.01562503, -0.00660827, 0.01393706, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.06889734, 0.39601833, -0.91393739, 13.74211216, 3.54430866, -3.02558422, -53.11312485, 56.06547546, -118.21104431, 64.66955566, -6.06930542, -84.84568024, -0.64194858, 0.36410135, -0.39333197, -0.54829025, -0.00649711, -0.00651513, 0.01141073, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.06913922, 0.39875311, -0.90732151, 10.58787346, 3.62884879, -2.68718624, -52.58696365, 56.79625702, -118.06489563, 64.52210999, -6.00935125, -84.85817719, -0.64218581, 0.36354116, -0.39234957, -0.54908758, -0.00544741, -0.01373898, 0.01461403, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.06576610, 0.40131739, -0.91196811, 8.99415016, 3.59277725, -2.57263350, -52.99620056, 56.67933273, -117.88950348, 64.61347198, -5.98041344, -84.89849854, -0.64161980, 0.36406386, -0.39276278, -0.54910743, -0.00772392, -0.00861590, 0.01612055, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.06217622, 0.42222038, -0.91762739, 8.94291306, 3.05284119, -1.79635334, -53.11312485, 56.59164047, -117.83103943, 64.70374298, -5.95347309, -84.92952728, -0.64110708, 0.36460146, -0.39315203, -0.54907113, -0.00934671, -0.00477639, 0.03887505, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.06888749, 0.43640533, -0.90548384, 9.65623569, 2.48620391, -0.00625186, -53.11312485, 56.59164047, -117.83103943, 64.79962158, -5.92448854, -84.94185638, -0.64065945, 0.36524463, -0.39349803, -0.54891819, -0.00124525, -0.01837438, 0.05332865, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.07952283, 0.43783596, -0.90715075, 13.57933140, 3.46977329, 0.62285656, -53.58082199, 55.48085403, -118.44490051, 64.93387604, -5.88157749, -84.95317841, -0.64005333, 0.36617672, -0.39395130, -0.54867911, 0.01011322, -0.01772496, 0.05594835, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.07451240, 0.42245877, -0.90710223, 16.84716415, 3.83743000, 1.35540199, -52.93773651, 55.45162201, -119.02952576, 64.63125610, -5.84927034, -84.90731812, -0.64114547, 0.36480850, -0.39218467, -0.54958028, 0.00482520, -0.01731359, 0.04153767, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.07326866, 0.41235456, -0.90563273, 18.92210770, 3.66986561, 2.09463573, -53.17158508, 56.70856476, -118.64951324, 64.81758118, -5.79560041, -84.90740967, -0.64039660, 0.36612612, -0.39279529, -0.54914093, 0.00355386, -0.01704329, 0.02874056, 0.00000000, 0.00000000, 0.00000000, 0.00000000
