SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.16950716, 0.80305076, -0.56260544, -3.80919576, -0.06828465, 1.83459783, -50.27769470, 65.59485626, -96.66764069, 32.31268311, -13.65384674, -149.71125793, -0.28108352, -0.03803008, -0.29651970, -0.91193306, -0.01076170, 0.00075052, -0.00343914, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.17008507, 0.80114484, -0.56402963, -5.31886959, -0.97198087, 1.69176936, -50.21923447, 65.44869995, -97.19380188, 32.25529099, -13.64760113, -149.68986511, -0.28122193, -0.03806491, -0.29605827, -0.91203892, -0.00888425, 0.00223517, -0.00569124, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.17099647, 0.80250978, -0.56504536, -6.68440199, -1.78680277, 1.18784702, -50.21923447, 65.44869995, -97.19380188, 32.18373871, -13.65065670, -149.66380310, -0.28141183, -0.03819807, -0.29550320, -0.91215473, -0.00786695, 0.00412241, -0.00493999, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.17029774, 0.80203009, -0.56562483, -7.81378174, -2.89431858, 0.74057704, -50.68693161, 65.68254852, -97.01841736, 32.09992599, -13.66410351, -149.63041687, -0.28167722, -0.03842705, -0.29487273, -0.91226715, -0.00876058, 0.00589570, -0.00602737, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.17275937, 0.80029023, -0.56432724, -8.84006023, -3.68790722, 0.35594982, -50.86231995, 66.00408936, -96.84302521, 32.00522614, -13.68557262, -149.59197998, -0.28199527, -0.03873535, -0.29417264, -0.91238195, -0.00674322, 0.00602780, -0.00874690, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.17467448, 0.79550397, -0.56046307, -10.43956089, -4.52305937, 0.11253023, -50.54077530, 66.09178162, -96.72610474, 32.02157211, -13.68874359, -149.56854248, -0.28219378, -0.03866066, -0.29431674, -0.91227722, -0.00551289, 0.00351058, -0.01443510, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.17689241, 0.79668355, -0.55966860, -12.39745045, -5.39726639, 0.00878089, -50.65770340, 64.95176697, -96.84302521, 31.88908577, -13.72407150, -149.51559448, -0.28264242, -0.03913802, -0.29334739, -0.91243017, -0.00344796, 0.00308766, -0.01365969, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.17752878, 0.80385602, -0.55811495, -14.10696411, -6.07740688, -0.12432134, -50.65770340, 64.95176697, -96.84302521, 31.73852730, -13.76486588, -149.45655823, -0.28314346, -0.03968985, -0.29224700, -0.91260415, -0.00299159, 0.00333254, -0.00779830, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.18056615, 0.80771637, -0.55292112, -15.47981453, -6.58005142, -0.02857990, -50.30692673, 65.79947662, -97.01841736, 31.57319832, -13.80806255, -149.39173889, -0.28368899, -0.04028435, -0.29103583, -0.91279572, -0.00042958, 0.00034198, -0.00571103, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.18524480, 0.80947298, -0.54661280, -16.60914993, -6.54122686, 0.11979803, -50.62847137, 65.53639221, -96.75533295, 31.39620399, -13.85004616, -149.32556152, -0.28423750, -0.04089600, -0.28973016, -0.91301310, 0.00360916, -0.00345879, -0.00599647, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.18266030, 0.81421453, -0.54077369, -17.11783600, -6.13045311, 0.50200737, -50.83308792, 66.35486603, -96.22917175, 31.15920448, -13.87397385, -149.25117493, -0.28479251, -0.04149126, -0.28791451, -0.91338766, 0.00074170, -0.00665457, -0.00298551, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.18378310, 0.81829858, -0.53426409, -17.34938812, -6.20261621, 0.44921833, -51.06694031, 66.32563782, -96.17070770, 30.97458458, -13.91112900, -149.18519592, -0.28532425, -0.04208690, -0.28653899, -0.91362697, 0.00165673, -0.01004367, -0.00121286, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, -0.18824831, 0.82371593, -0.52881235, -17.35372543, -5.82030630, 0.35950267, -51.06694031, 66.32563782, -96.17070770, 30.79048920, -13.94668293, -149.12284851, -0.28582266, -0.04267902, -0.28516337, -0.91387403, 0.00584923, -0.01301484, 0.00211372, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.19076864, 0.82998502, -0.52470368, -17.01980019, -5.34728622, 0.40893945, -50.71616364, 66.17948151, -96.08301544, 30.61028481, -13.97890854, -149.06434631, -0.28628418, -0.04324547, -0.28381100, -0.91412395, 0.00821326, -0.01472843, 0.00651527, 0.00000000, 0.00000000, 0.00000000, 0.00000000
