SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.79813850, -0.14830276, -0.58484572, -0.66142416, 2.22361112, -0.71876836, 5.14469433, 41.18678665, -102.07541656, 95.95847321, 53.44161224, -167.21900940, -0.26541477, -0.37297893, 0.62594140, 0.63137871, -0.00112598, -0.00063242, -0.00001857, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, 0.80008340, -0.14768372, -0.58513093, -0.72817695, 1.87537134, -0.80024534, 5.14469433, 41.18678665, -102.07541656, 95.95078278, 53.45121384, -167.22325134, -0.26547116, -0.37302032, 0.62587941, 0.63139206, -0.00291907, -0.00024945, 0.00065973, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, 0.80008346, -0.14750728, -0.58470398, -0.83131707, 1.52661800, -0.77767521, 5.14469433, 41.18678665, -102.07541656, 95.94247437, 53.45906448, -167.22775269, -0.26551637, -0.37305307, 0.62582099, 0.63141155, -0.00282249, -0.00057828, 0.00071578, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, 0.79765266, -0.14760672, -0.58259487, -0.93694639, 1.38637686, -0.78202486, 4.94007587, 42.58988571, -102.42619324, 95.93348694, 53.46617889, -167.23248291, -0.26555622, -0.37308261, 0.62576216, 0.63143563, -0.00033605, -0.00258696, 0.00023559, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, 0.79959750, -0.14665204, -0.58457297, -0.89923280, 1.17818666, -0.65157074, 4.94007587, 42.58988571, -102.42619324, 95.92542267, 53.47217941, -167.23641968, -0.26558790, -0.37310904, 0.62570965, 0.63145876, -0.00213788, -0.00058295, 0.00133181, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, 0.80075216, -0.14671153, -0.58462894, -0.86266679, 1.07426846, -0.55187494, 5.72931862, 42.03449249, -101.28617096, 95.89754486, 53.49401855, -167.25585938, -0.26573619, -0.37317365, 0.62554342, 0.63152283, -0.00315038, -0.00035030, 0.00115206, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, 0.79977930, -0.14827870, -0.58617151, -0.93173015, 0.83010960, -0.45652854, 5.72931862, 42.03449249, -101.28617096, 95.89038086, 53.49812317, -167.25862122, -0.26575300, -0.37319526, 0.62549865, 0.63154745, -0.00215212, 0.00142865, -0.00059564, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, 0.80111712, -0.14579974, -0.58418995, -1.00411761, 0.82914573, -0.31762835, 5.72931862, 42.03449249, -101.28617096, 95.88377380, 53.50210571, -167.26025391, -0.26576453, -0.37322104, 0.62545371, 0.63157189, -0.00328121, -0.00063170, 0.00178758, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, 0.79655898, -0.14535597, -0.58523589, -1.03737497, 0.58540475, -0.22253831, 5.52470016, 42.09295654, -102.01695251, 95.87747955, 53.50481033, -167.26139832, -0.26576662, -0.37324256, 0.62541330, 0.63159823, 0.00133207, 0.00042544, 0.00190110, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, 0.79467469, -0.14593412, -0.58731431, -0.85917974, 0.62217772, -0.15334600, 5.52470016, 42.09295654, -102.01695251, 95.87256622, 53.50769806, -167.26191711, -0.26577091, -0.37326515, 0.62537789, 0.63161820, 0.00320779, 0.00256349, 0.00124129, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 10, 0.79370236, -0.14620595, -0.58580709, -0.82376140, 0.62253189, -0.08440841, 5.23238802, 42.50219345, -101.98772430, 95.86827087, 53.51055908, -167.26187134, -0.26577389, -0.37328926, 0.62534410, 0.63163608, 0.00418328, 0.00110798, 0.00077563, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 11, 0.79400641, -0.14509365, -0.58633554, -0.89588010, 0.69125313, -0.15053068, 5.23238802, 42.50219345, -101.98772430, 95.86324310, 53.51376343, -167.26226807, -0.26577917, -0.37331438, 0.62530655, 0.63165629, 0.00399294, 0.00161804, 0.00187706, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 12, 0.79534322, -0.14614052, -0.58598024, -0.67989641, 0.58948916, -0.12130971, 5.11546326, 41.62525558, -101.69541168, 95.85940552, 53.51652908, -167.26255798, -0.26578495, -0.37333515, 0.62527674, 0.63167107, 0.00261513, 0.00135349, 0.00086071, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 13, 0.79589021, -0.14626585, -0.58579761, -0.67900211, 0.51999569, -0.12386888, 5.11546326, 41.62525558, -101.69541168, 95.85551453, 53.51895523, -167.26295471, -0.26578918, -0.37335384, 0.62524813, 0.63168657, 0.00208610, 0.00120851, 0.00072177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 14, 0.79807794, -0.14637548, -0.58645576, -0.64090079, 0.31186938, -0.06260854, 5.11546326, 41.62525558, -101.69541168, 95.85208893, 53.52032089, -167.26310730, -0.26578707, -0.37336758, 0.62522501, 0.63170224, -0.00008476, 0.00189041, 0.00075909, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 15, 0.79905057, -0.14532506, -0.58692133, -0.46136427, 0.24440211, 0.00274515, 4.73545742, 42.67757797, -101.90002441, 95.82492828, 53.50039673, -167.27842712, -0.26566267, -0.37325001, 0.62519443, 0.63185430, -0.00107865, 0.00215278, 0.00175720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 16, 0.79686248, -0.14603958, -0.58821499, -0.42402294, 0.14061184, -0.03594667, 4.73545742, 42.67757797, -101.90002441, 95.82263184, 53.50097656, -167.27857971, -0.26565945, -0.37325728, 0.62518024, 0.63186526, 0.00095908, 0.00333153, 0.00082349, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 17, 0.79200047, -0.14674158, -0.58679277, -0.42209995, 0.03646744, -0.14357616, 4.85238218, 41.80064392, -101.54925537, 95.81957245, 53.50110245, -167.27975464, -0.26565683, -0.37325865, 0.62516677, 0.63187903, 0.00575793, 0.00194800, -0.00031745, 0.00000000, 0.00000000, 0.00000000, 0.00000000
