SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.97011101, -0.09757939, -0.25088274, -0.50892234, -0.12277105, 0.73074532, 5.29085064, 42.26834106, -85.06284332, 94.40511322, 75.05514526, 26.57539177, -0.62711799, 0.47121581, 0.53652543, -0.31115770, -0.00760069, -0.00203249, 0.00322095, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, 0.96877366, -0.09981804, -0.24904121, -0.39825526, -0.43436545, 0.85684836, 4.88161373, 43.29143524, -85.47208405, 94.41812134, 75.05230713, 26.59073448, -0.62711281, 0.47122902, 0.53654277, -0.31111833, -0.00627888, -0.00321849, 0.00050383, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, 0.96634293, -0.09846556, -0.24939731, -0.28706610, -0.71105337, 0.81124622, 4.88161373, 43.29143524, -85.47208405, 94.43027496, 75.04817963, 26.60454369, -0.62711000, 0.47125110, 0.53655136, -0.31107584, -0.00377688, -0.00299518, 0.00176296, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, 0.96652490, -0.09884085, -0.25249392, -0.17785947, -0.84878635, 0.80535936, 4.56007004, 42.38526535, -85.03361511, 94.44254303, 75.04341888, 26.61783218, -0.62710685, 0.47127926, 0.53655517, -0.31103292, -0.00399379, 0.00004339, 0.00162478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, 0.96543092, -0.09838025, -0.25437206, -0.03304072, -0.98613316, 0.83381331, 4.56007004, 42.38526535, -85.03361511, 94.45583344, 75.03796387, 26.63139153, -0.62710172, 0.47131506, 0.53655487, -0.31098956, -0.00288748, 0.00181075, 0.00217243, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, 0.96141958, -0.09821834, -0.25681388, -0.10354909, -0.95196688, 0.55882990, 4.56007004, 42.38526535, -84.50745392, 94.46368408, 75.03285217, 26.63971329, -0.62710392, 0.47134402, 0.53654903, -0.31095138, 0.00111066, 0.00415607, 0.00223217, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, 0.95734829, -0.09635535, -0.25486657, -0.35468239, -0.78087193, 0.25564897, 4.61853266, 42.91143036, -84.50745392, 94.46499634, 75.02872467, 26.64261627, -0.62711608, 0.47135785, 0.53654212, -0.31091768, 0.00527355, 0.00203896, 0.00372455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, 0.95309395, -0.09785965, -0.25308901, -0.50204974, -0.40020204, 0.13236122, 4.61853266, 42.91143036, -84.50745392, 94.46405792, 75.02648926, 26.64408302, -0.62712920, 0.47135675, 0.53654253, -0.31089237, 0.00939490, 0.00029622, 0.00183833, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, 0.95285004, -0.10153538, -0.25314218, -0.54283398, 0.01640472, 0.07877826, 4.73545742, 43.26220322, -84.44898987, 94.46282196, 75.02635193, 26.64560699, -0.62713873, 0.47134355, 0.53655159, -0.31087735, 0.00938138, 0.00053054, -0.00184217, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, 0.95400310, -0.10843185, -0.25468948, -0.33823869, 0.67881346, 0.41292471, 4.73545742, 43.26220322, -84.44898987, 94.47019196, 75.02928925, 26.65520477, -0.62712759, 0.47132444, 0.53658199, -0.31087640, 0.00776991, 0.00247604, -0.00853497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
