SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.02131839, 0.70475233, -0.71712732, 1.72945368, -3.18812823, -1.07242680, -14.82022762, 45.13300323, -125.95732117, 14.37265110, -29.70816994, -22.50494003, 0.94681203, -0.06896066, 0.27304977, 0.15567693, 0.00306353, -0.00831629, 0.00702451, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.02025296, 0.69846606, -0.72216260, 3.29753041, -3.93426013, -1.23281157, -14.82022762, 45.13300323, -125.95732117, 14.43514538, -29.73815536, -22.51737785, 0.94669831, -0.06939011, 0.27338660, 0.15558660, 0.00223059, -0.00118548, 0.00478812, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.01769838, 0.69074267, -0.72564894, 4.05466604, -4.30764866, -1.30416262, -14.14791012, 44.40222168, -125.48962402, 14.48794937, -29.77253532, -22.52391434, 0.94658953, -0.06974505, 0.27374244, 0.15546381, 0.00155809, 0.00511600, 0.00012521, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.01562965, 0.67992175, -0.72538745, 3.94849229, -4.41315842, -1.28993428, -14.49868488, 45.57146835, -125.57731628, 14.53966808, -29.80770302, -22.52907753, 0.94648153, -0.07009267, 0.27410233, 0.15533082, -0.00202373, 0.01019035, -0.00825777, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.01067565, 0.67583913, -0.72513509, 3.06488824, -3.93696117, -1.24844468, -15.14177132, 45.22069550, -125.69423676, 14.58068180, -29.84035110, -22.53178978, 0.94638824, -0.07036244, 0.27442557, 0.15520664, -0.00017377, 0.01163131, -0.01341338, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.01265221, 0.68036467, -0.72099954, 1.23033834, -3.38513541, -1.02398181, -14.73253441, 44.66530228, -125.63578033, 14.59986877, -29.86993980, -22.52553368, 0.94632638, -0.07047927, 0.27468875, 0.15506503, -0.00154373, 0.00535069, -0.01075429, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.01204456, 0.67986602, -0.71876615, -0.33287898, -2.98640656, -0.94558620, -14.73253441, 44.66530228, -125.63578033, 14.69483089, -29.95111656, -22.55216408, 0.94607091, -0.07104393, 0.27549487, 0.15493596, -0.00253186, 0.00340897, -0.01200639, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.01216656, 0.68227154, -0.71967131, -1.42973173, -2.70396852, -0.75391054, -14.38175964, 44.98684692, -125.60654449, 14.68250561, -29.97753334, -22.53256798, 0.94605273, -0.07093868, 0.27568120, 0.15476437, -0.00232988, 0.00205790, -0.00900843, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.01074129, 0.69602782, -0.72151440, -1.63092065, -2.42840505, -0.62117589, -14.99561501, 45.33761978, -124.84653473, 14.66739750, -30.00133324, -22.51248932, 0.94604188, -0.07081668, 0.27584216, 0.15459940, 0.00505797, -0.00374324, 0.00101333, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.01156347, 0.70346296, -0.72092026, -0.71978313, -2.26136947, -0.63924992, -15.14177132, 45.45454407, -125.95732117, 14.66252422, -30.02285385, -22.49894142, 0.94602036, -0.07076789, 0.27600244, 0.15446717, 0.00710116, -0.00816628, 0.00658654, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.01226227, 0.70159554, -0.71742690, 0.73068011, -2.26179695, -0.66756499, -14.87869072, 44.46068192, -126.10347748, 14.67427158, -30.04262733, -22.49410820, 0.94598031, -0.07083867, 0.27617633, 0.15436946, 0.00436503, -0.01006881, 0.00417612, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.01268751, 0.69964910, -0.71469378, 2.72012663, -2.34269309, -0.84130996, -14.87869072, 44.46068192, -126.10347748, 14.54569244, -30.08082962, -22.42230034, 0.94607967, -0.06987726, 0.27627027, 0.15402974, 0.00200000, -0.01099927, 0.00187640, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.01487421, 0.69473064, -0.71542001, 4.04914474, -2.57027817, -1.05003011, -15.20023346, 44.22683334, -125.34346771, 14.59617710, -30.10104370, -22.43792343, 0.94598746, -0.07021782, 0.27651235, 0.15400690, -0.00232167, -0.00647049, -0.00012157, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.01238047, 0.68757111, -0.71962559, 4.46303844, -2.61735129, -1.31437278, -14.93715286, 45.07453918, -125.66500854, 14.65172005, -30.12285805, -22.45772934, 0.94588327, -0.07058683, 0.27677682, 0.15400384, -0.00242615, 0.00023927, -0.00413677, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.00794323, 0.68492448, -0.72089660, 3.81252313, -2.17319989, -1.25852978, -15.55100822, 45.16223145, -126.54194641, 14.69923782, -30.14196396, -22.47612000, 0.94579095, -0.07089806, 0.27700755, 0.15401223, 0.00025422, 0.00206171, -0.00737585, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.00900744, 0.68818712, -0.72172451, 3.21542645, -1.72846961, -1.15117550, -15.22946453, 44.48991394, -126.27886200, 14.73929405, -30.15793800, -22.49299812, 0.94571161, -0.07115727, 0.27720186, 0.15403078, 0.00075481, 0.00036811, -0.00380630, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, 0.01168309, 0.69606769, -0.72378308, 3.30051374, -1.51923132, -0.83276647, -14.93715286, 44.60683823, -125.51885223, 14.72002888, -30.16854286, -22.48015785, 0.94571960, -0.07100904, 0.27725434, 0.15395550, 0.00232654, -0.00261315, 0.00435937, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, 0.00970816, 0.69809979, -0.72621912, 3.73139286, -1.65329802, -0.73716873, -14.93715286, 44.60683823, -125.51885223, 14.76551628, -30.18044472, -22.49735641, 0.94564444, -0.07132000, 0.27742302, 0.15396950, 0.00543835, -0.00166143, 0.00599725, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.00885543, 0.69047326, -0.72814995, 4.28455973, -1.54265809, -0.65080911, -15.34638977, 44.78222656, -125.78193665, 14.81712914, -30.19020462, -22.51783943, 0.94556516, -0.07167760, 0.27758455, 0.15399885, 0.00323255, 0.00346660, 0.00133326, 0.00000000, 0.00000000, 0.00000000, 0.00000000
