SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.26696506, 0.36661792, -0.88721591, 0.53046900, 0.38557017, 0.22041930, -21.42648315, 32.70973206, -126.68810272, 65.58750153, -17.16753578, -33.50035095, 0.81923968, -0.47666681, 0.27448916, 0.16214482, -0.00026124, -0.00339211, -0.00142555, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.26602301, 0.36734760, -0.88862592, 0.42321509, 0.40175340, 0.15263391, -21.71879578, 33.64513397, -126.48348236, 65.59151459, -17.16297722, -33.50051880, 0.81922138, -0.47670764, 0.27446476, 0.16215827, -0.00111899, -0.00194441, -0.00075110, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.26653963, 0.36659226, -0.88748705, 0.47772148, 0.33287087, 0.16698891, -22.21572685, 33.67436218, -126.27886200, 65.59598541, -17.15897560, -33.50030899, 0.81920189, -0.47675124, 0.27444324, 0.16216519, -0.00058760, -0.00309148, -0.00154405, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.26541477, 0.36939389, -0.88823026, 0.47804198, 0.31551349, 0.14905068, -22.21572685, 33.67436218, -126.27886200, 65.60050964, -17.15519333, -33.50019455, 0.81918210, -0.47679430, 0.27442366, 0.16217165, -0.00144672, -0.00254611, 0.00142355, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.26501969, 0.36928809, -0.88741142, 0.46103328, 0.24581102, 0.14661969, -22.30341911, 33.99590683, -126.65886688, 65.60484314, -17.15208817, -33.49984741, 0.81916356, -0.47683465, 0.27440739, 0.16217369, -0.00179681, -0.00340432, 0.00136338, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.26435187, 0.36626297, -0.88784522, 0.44470304, 0.17622033, 0.02309947, -21.89418221, 33.90821457, -126.42501831, 65.63346863, -17.14055061, -33.51146317, 0.81902456, -0.47704336, 0.27441847, 0.16224346, -0.00259139, -0.00290710, -0.00143128, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.26505077, 0.36667642, -0.88875210, 0.37420899, 0.08851739, 0.02041299, -22.01110840, 33.87898254, -126.60041046, 65.63719940, -17.13941574, -33.51169968, 0.81900835, -0.47707263, 0.27441713, 0.16224167, -0.00172028, -0.00221522, -0.00070266, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.26544598, 0.36504838, -0.88674587, 0.26721612, 0.12215380, -0.13322495, -21.86495209, 33.79129028, -126.45425415, 65.64031982, -17.13859749, -33.51354599, 0.81899250, -0.47709277, 0.27442369, 0.16225129, -0.00142906, -0.00416108, -0.00240781, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.26574966, 0.36638096, -0.88763785, 0.15680958, 0.12278217, -0.15263574, -22.24495697, 33.79129028, -126.77579498, 65.64237976, -17.13790894, -33.51554108, 0.81898093, -0.47710466, 0.27443030, 0.16226396, -0.00101775, -0.00336166, -0.00101720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.26945585, 0.37056130, -0.88680804, 0.22608176, 0.14301774, -0.32837403, -22.24495697, 33.73282623, -126.77579498, 65.64566040, -17.13763428, -33.51935196, 0.81896180, -0.47711971, 0.27444896, 0.16228466, 0.00296890, -0.00442769, 0.00288411, 0.00000000, 0.00000000, 0.00000000, 0.00000000
