SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.22364104, -0.50430787, -0.82867378, -0.76388168, -0.03191607, -0.40405115, -18.41566849, 2.36772871, -112.18941498, 119.39440155, -11.06758308, 130.78790283, -0.13341552, 0.40205103, 0.76105171, 0.49127954, -0.00070635, -0.00103618, 0.00723348, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0050, 1, -0.22351986, -0.50615495, -0.82815367, -0.62085140, -0.03027592, -0.37047908, -18.41566849, 2.36772871, -112.18941498, 119.39165497, -11.06690693, 130.78611755, -0.13343754, 0.40205717, 0.76103532, 0.49129385, -0.00094541, -0.00148518, 0.00533186, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 2, -0.22400577, -0.50499451, -0.82795769, -0.51304585, -0.02895797, -0.44044158, -18.41566849, 2.36772871, -112.18941498, 119.38949585, -11.06600189, 130.78405762, -0.13346028, 0.40206504, 0.76102108, 0.49130327, -0.00036590, -0.00176403, 0.00641063, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0150, 3, -0.22430961, -0.50474763, -0.82807684, -0.33549169, 0.04252975, -0.33537287, -18.21105003, 2.54311609, -112.30634308, 119.38806152, -11.06502533, 130.78268433, -0.13347806, 0.40206897, 0.76101255, 0.49130857, -0.00002850, -0.00167398, 0.00662022, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 4, -0.22515975, -0.50168514, -0.82803750, -0.19188003, 0.04426572, -0.40559152, -18.21105003, 2.54311609, -112.30634308, 119.38740540, -11.06380844, 130.78102112, -0.13349599, 0.40207475, 0.76100701, 0.49130765, 0.00105080, -0.00188537, 0.00959800, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0250, 5, -0.22309418, -0.50544053, -0.82692891, -0.04698636, -0.02342792, -0.54756314, -17.45103836, 2.22157264, -111.86787415, 119.38761902, -11.06245518, 130.77859497, -0.13351507, 0.40208614, 0.76100278, 0.49129963, -0.00125201, -0.00279861, 0.00594403, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 6, -0.22224361, -0.50679195, -0.82670158, 0.20358071, -0.09015487, -0.37893122, -17.45103836, 2.22157264, -111.86787415, 119.38901520, -11.06175995, 130.77676392, -0.13352294, 0.40209737, 0.76100403, 0.49128643, -0.00217802, -0.00294913, 0.00466148, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0350, 7, -0.22187968, -0.50940180, -0.82813126, 0.34814617, -0.19272304, -0.38379475, -17.45103836, 2.22157264, -111.86787415, 119.37360382, -11.04192924, 130.77951050, -0.13370392, 0.40198815, 0.76099688, 0.49133763, -0.00254174, -0.00147019, 0.00207828, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 8, -0.22279236, -0.51303291, -0.83079410, 0.38560647, -0.36613449, -0.28665799, -17.62642479, 0.00000000, -111.98480225, 119.37607574, -11.04258537, 130.77734375, -0.13369997, 0.40200779, 0.76099819, 0.49132049, -0.00171189, 0.00129898, -0.00154190, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 9, -0.22096984, -0.51640946, -0.83034819, 0.38591924, -0.43572381, -0.18542631, -17.62642479, 0.00000000, -111.98480225, 119.37850952, -11.04381275, 130.77540588, -0.13369107, 0.40202796, 0.76099885, 0.49130541, -0.00378392, 0.00105471, -0.00476827, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 10, -0.22176057, -0.51967132, -0.82954931, 0.42159092, -0.47014841, -0.08317136, -18.03566170, 0.81847411, -112.56941986, 119.38108063, -11.04544163, 130.77384949, -0.13367738, 0.40204728, 0.76100028, 0.49129102, -0.00325099, 0.00045419, -0.00807932, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 11, -0.22109278, -0.52093691, -0.83429319, 0.24384296, -0.54166812, -0.15364315, -18.03566170, 0.81847411, -112.56941986, 119.38288116, -11.04723549, 130.77175903, -0.13366748, 0.40206996, 0.76099628, 0.49128154, -0.00401712, 0.00527989, -0.00901848, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 12, -0.22170036, -0.52224624, -0.82946420, 0.27803874, -0.50669497, 0.05496163, -18.03566170, 0.81847411, -112.56941986, 119.38465881, -11.04943848, 130.77066040, -0.13365057, 0.40208739, 0.76099449, 0.49127448, -0.00355537, 0.00054862, -0.01059273, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 13, -0.22206452, -0.51952702, -0.83082193, 0.02496712, -0.33591941, 0.09774987, -17.74334908, 1.63694823, -112.04325867, 119.38498688, -11.05110645, 130.77017212, -0.13363983, 0.40209717, 0.76099008, 0.49127632, -0.00303004, 0.00177152, -0.00783252, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 14, -0.22297528, -0.51688242, -0.82787853, -0.15623912, -0.19908638, 0.17334302, -17.74334908, 1.63694823, -112.04325867, 119.38424683, -11.05245399, 130.77035522, -0.13363224, 0.40210015, 0.76098424, 0.49128512, -0.00197384, -0.00130612, -0.00542391, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 15, -0.22297463, -0.51457763, -0.82651204, -0.26365712, -0.20034045, 0.17411168, -16.69102669, 1.46156096, -111.63402557, 119.38296509, -11.05384922, 130.77050781, -0.13362630, 0.40210271, 0.76097584, 0.49129763, -0.00184334, -0.00279731, -0.00321842, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 16, -0.22364281, -0.51266009, -0.82757938, -0.33558199, -0.13158721, 0.07339250, -16.69102669, 1.46156096, -111.63402557, 119.38136292, -11.05470085, 130.77041626, -0.13362640, 0.40210465, 0.76096642, 0.49131045, -0.00105810, -0.00184170, -0.00132257, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 17, -0.22522244, -0.51103431, -0.82598746, -0.26396993, -0.13075116, 0.07288001, -16.69102669, 1.46156096, -111.63402557, 119.39990234, -11.08060646, 130.76449585, -0.13340549, 0.40226090, 0.76096076, 0.49125141, 0.00039706, -0.00340769, 0.00020760, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 18, -0.22589083, -0.51061320, -0.82556021, -0.19255179, -0.12994705, 0.10696450, -17.71411896, 1.31540489, -111.78018188, 119.39897156, -11.08149719, 130.76455688, -0.13340220, 0.40226263, 0.76095486, 0.49126005, 0.00086120, -0.00374252, 0.00066894, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 19, -0.22479700, -0.51007956, -0.82803339, -0.22829832, -0.16517571, 0.17513502, -17.71411896, 1.31540489, -111.78018188, 119.39784241, -11.08273125, 130.76483154, -0.13339640, 0.40226406, 0.76094782, 0.49127123, -0.00020391, -0.00130629, 0.00138819, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 20, -0.22376400, -0.51119626, -0.82719547, -0.22695683, -0.26941592, 0.17129636, -18.09412384, 0.96463019, -112.33557129, 119.39682770, -11.08438873, 130.76480103, -0.13338855, 0.40226927, 0.76093924, 0.49128249, -0.00134099, -0.00208784, 0.00028673, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1050, 21, -0.22491834, -0.50973827, -0.82651335, -0.15503199, -0.33816919, 0.27201563, -18.09412384, 0.96463019, -112.33557129, 119.39613342, -11.08658981, 130.76501465, -0.13337466, 0.40227509, 0.76093155, 0.49129340, -0.00012943, -0.00284608, 0.00160735, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 22, -0.22352076, -0.51045674, -0.82742637, -0.08322617, -0.33730122, 0.23690625, -18.09412384, 0.96463019, -112.33557129, 119.39580536, -11.08867455, 130.76509094, -0.13336083, 0.40228182, 0.76092535, 0.49130136, -0.00160442, -0.00189358, 0.00102788, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1150, 23, -0.22345997, -0.50988448, -0.82863057, -0.11883830, -0.33768731, 0.20256552, -17.88950539, 0.93539900, -112.16018677, 119.39535522, -11.09067822, 130.76501465, -0.13334873, 0.40228915, 0.76091808, 0.49130976, -0.00165621, -0.00071902, 0.00165487, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 24, -0.22285207, -0.50985318, -0.82686895, -0.15503199, -0.33816922, 0.27201557, -17.88950539, 0.93539900, -112.16018677, 119.39466095, -11.09287167, 130.76525879, -0.13333485, 0.40229493, 0.76091051, 0.49132067, -0.00230301, -0.00247922, 0.00162236, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1250, 25, -0.22236639, -0.51134872, -0.82894933, -0.29666117, -0.47886017, 0.30251917, -16.95410728, 1.84156680, -111.51709747, 119.39337158, -11.09578896, 130.76519775, -0.13331923, 0.40230453, 0.76089746, 0.49133712, -0.00292929, -0.00032455, 0.00025443, 0.00000000, 0.00000000, 0.00000000, 0.00000000
