SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.76214486, -0.26276886, -0.80232662, 9.56118298, 8.41277981, 3.65720582, -18.64951706, 13.47559166, -125.43115997, 100.31707001, 46.44451141, -81.92297363, 0.24613440, -0.69844526, 0.27180415, 0.61458492, -0.04395476, 0.14426580, -0.04531259, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.82593173, -0.23033893, -0.83609563, 14.37121010, 6.53824234, 5.83525324, -19.96492195, 13.47559166, -124.81730652, 100.53372955, 46.50416565, -81.81596375, 0.24504656, -0.69924486, 0.27197826, 0.61403310, -0.11163238, 0.16991100, -0.00367127, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.90193093, -0.21903938, -0.85394818, 20.36890221, -4.16959381, 10.93195057, -19.38029861, 13.56328583, -124.72960663, 100.84440613, 46.45174408, -81.67230988, 0.24421746, -0.70017922, 0.27305803, 0.61281824, -0.18657470, 0.18778265, 0.01702142, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.82062417, -0.20314552, -0.79126370, 24.41912460, -15.45668793, 16.59299088, -19.23414230, 13.03712368, -124.26190948, 101.23223877, 46.27848053, -81.48859406, 0.24381435, -0.70121491, 0.27497473, 0.61093462, -0.10633519, 0.12335468, 0.02845611, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.80637813, -0.19423497, -0.75255316, 28.00639725, -15.53839779, 18.84615707, -19.23414230, 13.03712368, -124.26190948, 101.67688751, 46.10033798, -81.27542114, 0.24324000, -0.70244110, 0.27702981, 0.60882294, -0.09370983, 0.08314762, 0.03990081, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.73740280, -0.19242302, -0.71838462, 30.18569946, -20.78077126, 22.01025772, -19.49722290, 13.38789845, -124.96346283, 101.32717896, 45.64176941, -81.70993042, 0.24568135, -0.70003122, 0.28038520, 0.60908222, -0.02820352, 0.04622024, 0.03891204, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.70479673, -0.19794154, -0.71240193, 32.72153473, -23.27114296, 22.43581009, -20.72493362, 12.51096153, -125.05115509, 101.83660126, 45.38278580, -81.47710419, 0.24527475, -0.70134693, 0.28310338, 0.60646951, -0.00120167, 0.03508089, 0.03043143, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.69607329, -0.21128666, -0.70462877, 32.95279312, -21.96564674, 22.94905472, -20.11107826, 12.77404213, -125.31423187, 102.35211182, 45.13375854, -81.23669434, 0.24480152, -0.70271719, 0.28573316, 0.60383558, 0.00345233, 0.02624769, 0.02292810, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.67437476, -0.22103655, -0.70332307, 32.82061386, -19.01398468, 23.88878632, -20.69570351, 12.97866154, -124.81730652, 102.87757874, 44.90893173, -80.97649384, 0.24422041, -0.70419872, 0.28814083, 0.60119504, 0.02150427, 0.02397928, 0.01855071, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.64322579, -0.21275859, -0.74749136, 35.53939438, -14.18562603, 23.05949402, -20.69570351, 12.97866154, -124.81730652, 103.42931366, 44.73281479, -80.71184540, 0.24321049, -0.70581716, 0.29037091, 0.59862816, 0.05088885, 0.06679504, 0.03399831, 0.00000000, 0.00000000, 0.00000000, 0.00000000
