SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.48637536, -0.43046188, -0.78787208, 4.16850090, -7.96891165, 0.53035033, -32.44665146, 11.66325665, -121.89418030, 114.86080170, 28.27211189, -116.61834717, -0.09910779, 0.54118329, -0.62630022, -0.55231005, -0.03800708, 0.01042699, 0.01609514, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.48719668, -0.42750311, -0.78531021, 4.68345690, -9.66700745, 1.93443406, -32.88512039, 12.24788094, -122.33264923, 114.89997101, 28.18077660, -116.64859009, -0.09938653, 0.54078382, -0.62698960, -0.55186892, -0.03990646, 0.00732101, 0.01974881, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.46093971, -0.43036407, -0.80520958, 5.80463457, -11.09725189, 3.18807292, -32.88512039, 12.24788094, -122.33264923, 114.95389557, 28.07168961, -116.67355347, -0.09973986, 0.54037374, -0.62779367, -0.55129248, -0.01543233, 0.02689032, 0.01717589, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.42924601, -0.43561843, -0.79142791, 5.11675406, -13.05090332, 2.55069327, -33.14820099, 12.59865570, -121.95264435, 114.96322632, 27.76473808, -116.72447968, -0.10149936, 0.53919888, -0.62927550, -0.55043161, 0.01323921, 0.01242828, 0.01012224, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.41134551, -0.45114765, -0.77996987, 5.24181747, -11.32861233, 1.90376890, -33.11896896, 12.56942368, -121.66033173, 115.00518036, 27.65930748, -116.76367950, -0.10181732, 0.53870928, -0.63007128, -0.54994160, 0.02607513, 0.00004587, -0.00606947, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.41104293, -0.45079160, -0.76690048, 4.69116831, -7.18155766, 1.33372772, -31.94972229, 11.80941200, -122.47880554, 115.04624176, 27.59274101, -116.78684998, -0.10195738, 0.53842163, -0.63063562, -0.54955035, 0.02510211, -0.01334659, -0.00555949, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.41502547, -0.44769788, -0.75428754, 4.06743813, -1.85442781, 1.55140901, -33.11896896, 11.66325665, -121.86495209, 115.09137726, 27.57167435, -116.77988434, -0.10191934, 0.53843790, -0.63090110, -0.54923677, 0.02067172, -0.02612165, -0.00212696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.42073950, -0.44137648, -0.75641441, 3.45331001, 4.13313150, 1.75867689, -33.11896896, 11.66325665, -121.86495209, 115.14183807, 27.60190392, -116.73929596, -0.10167493, 0.53879535, -0.63083476, -0.54900753, 0.01562013, -0.02390681, 0.00532869, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.43116087, -0.44886222, -0.75362158, 2.05493569, 7.31450558, 1.28068602, -33.03127670, 12.74481106, -122.36187744, 115.40953064, 27.81792068, -116.62531281, -0.09951739, 0.54029161, -0.63074070, -0.54803973, 0.00607025, -0.02498242, -0.00044230, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.44975713, -0.45300320, -0.75080353, 0.72560704, 9.12362671, 1.16693163, -33.29435730, 12.07249355, -121.80648804, 115.43894958, 27.89284134, -116.56441498, -0.09916915, 0.54087061, -0.63030285, -0.54803538, -0.00988041, -0.02485777, -0.00123855, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.47513109, -0.45222503, -0.74515557, 0.34814408, 8.80560684, 2.14411807, -32.94358444, 12.36480522, -121.83571625, 115.46866608, 27.96006775, -116.49558258, -0.09890893, 0.54147041, -0.62985814, -0.54800147, -0.03403467, -0.02980660, 0.00114863, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.48750052, -0.44770980, -0.73645419, -0.45493287, 6.24006367, 4.27016687, -32.94358444, 12.33557415, -122.06957245, 115.49560547, 27.99411964, -116.41960144, -0.09891736, 0.54201007, -0.62949514, -0.54788363, -0.04536971, -0.03819716, 0.00627821, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.49251485, -0.44280434, -0.74354577, -1.51345944, 2.87267160, 5.86705208, -32.94358444, 12.33557415, -122.06957245, 115.51318359, 27.99034691, -116.34622192, -0.09921020, 0.54241735, -0.62924659, -0.54771298, -0.04983839, -0.03114804, 0.01214696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.49655417, -0.44541159, -0.76093411, -2.66794229, -1.41682661, 7.49999142, -34.20052719, 11.95556831, -121.77725983, 115.40490723, 28.52587700, -116.34396362, -0.09615717, 0.54388458, -0.62662184, -0.54980773, -0.05223058, -0.01291790, 0.01007256, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.49792042, -0.44374803, -0.77736515, -3.10816789, -5.62862968, 9.30335140, -33.55743790, 12.27711201, -121.57263947, 115.40751648, 28.43029594, -116.28231812, -0.09707884, 0.54394841, -0.62671703, -0.54947400, -0.04786041, 0.00555302, 0.01026431, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.47971830, -0.44247213, -0.78279865, -3.20954657, -8.23767948, 10.92082882, -33.00204468, 12.83250523, -122.04033661, 115.41181946, 28.30405045, -116.21871185, -0.09820621, 0.54393595, -0.62693077, -0.54904199, -0.03140762, 0.01004654, 0.01102478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, 0.45975327, -0.44411212, -0.78622037, -2.91206169, -8.13079643, 11.90850163, -33.67436218, 11.92633724, -122.12802887, 115.42387390, 28.17422485, -116.14464569, -0.09937020, 0.54397684, -0.62714553, -0.54854661, -0.01358781, 0.01263724, 0.00877177, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, 0.43623507, -0.43830845, -0.78439993, -2.84592676, -6.53186464, 12.46837616, -33.67436218, 11.92633724, -122.12802887, 115.44198608, 28.05578423, -116.05649567, -0.10049617, 0.54413301, -0.62727714, -0.54803586, 0.00836718, 0.00970182, 0.01349176, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, 0.41876316, -0.43855736, -0.77602798, -2.52029300, -2.77516270, 12.96714401, -34.05437088, 11.28325081, -122.04033661, 115.34442139, 27.72512627, -115.99983215, -0.10343455, 0.54339850, -0.62783313, -0.54758108, 0.02327599, 0.00012575, 0.01207073, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, 0.40904033, -0.43480879, -0.77350461, -2.42851686, -0.21992570, 13.18138504, -33.49897766, 11.16632557, -122.04033661, 115.38077545, 27.65905571, -115.87082672, -0.10431845, 0.54394627, -0.62765229, -0.54707658, 0.02926832, -0.00488597, 0.01503955, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, 0.41034725, -0.43652329, -0.76642901, -3.00513792, 1.42400146, 13.31532860, -33.55743790, 12.71557999, -122.01110840, 115.41468048, 27.60632324, -115.73200989, -0.10517104, 0.54458451, -0.62736028, -0.54661304, 0.02694998, -0.01203890, 0.01374184, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, 0.40116698, -0.44229385, -0.78922957, -3.38601947, 1.80182636, 13.33209515, -33.82051849, 12.33557415, -121.68955994, 115.44532776, 27.55654526, -115.59119415, -0.10602804, 0.54523933, -0.62703103, -0.54617250, 0.03500301, 0.01086852, 0.00916701, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, 0.40939969, -0.45619154, -0.77892876, -3.93478680, 1.72673178, 12.38209057, -34.31745148, 11.89710617, -121.60186768, 115.46575165, 27.51022339, -115.46051025, -0.10686173, 0.54583931, -0.62668675, -0.54580575, 0.02507051, 0.00114193, -0.00412894, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 23, 0.42622969, -0.47634321, -0.77867991, -3.62283421, 1.13959038, 12.35816002, -34.31745148, 11.89710617, -121.60186768, 115.72093964, 27.32102394, -115.24046326, -0.10794958, 0.54673737, -0.62758768, -0.54365331, 0.00557258, 0.00185256, -0.02167715, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 24, 0.41191533, -0.47915965, -0.79358101, -2.76179790, 1.23695278, 11.85355568, -33.79129028, 12.51096153, -121.60186768, 115.74923706, 27.27312660, -115.11776733, -0.10871491, 0.54729831, -0.62732244, -0.54324228, 0.01736226, 0.01713838, -0.02133998, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 25, 0.39714876, -0.47369137, -0.78972322, -3.10308862, -0.90317941, 10.49746799, -34.02513885, 12.83250523, -122.09880066, 115.76396179, 27.21278954, -115.02017975, -0.10950813, 0.54767334, -0.62716067, -0.54289180, 0.03158095, 0.01272767, -0.01663878, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 26, 0.39289829, -0.46493053, -0.77030861, -3.38833356, -0.41883945, 9.18544769, -34.43437576, 12.48173046, -121.74802399, 115.77056885, 27.16280174, -114.93308258, -0.11022121, 0.54801291, -0.62696993, -0.54262507, 0.03551126, -0.00744568, -0.00889737, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 27, 0.40371907, -0.45600063, -0.76006663, -3.39437604, 0.45067552, 8.30061913, -34.34668350, 11.63402462, -122.18649292, 115.77458954, 27.12467575, -114.85003662, -0.11084838, 0.54836172, -0.62673992, -0.54241055, 0.02463149, -0.01842282, 0.00041498, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 28, 0.39569899, -0.44442990, -0.76512456, -3.39670014, 0.90295810, 7.69450808, -34.34668350, 11.63402462, -122.18649292, 115.66366577, 26.77986717, -114.80042267, -0.11390217, 0.54753262, -0.62731653, -0.54194874, 0.03171936, -0.01493932, 0.01169108, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 29, 0.37521777, -0.44211507, -0.77404034, -4.25813770, 0.09445165, 6.68534422, -34.37591171, 12.83250523, -122.06957245, 115.65052032, 26.74597740, -114.73561859, -0.11449610, 0.54777634, -0.62707615, -0.54185545, 0.04817655, -0.00868246, 0.01268267, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 30, 0.35947546, -0.44680545, -0.78160816, -5.10057545, -0.50474244, 5.00908899, -33.67436218, 12.39403629, -122.36187744, 115.62033844, 26.71437263, -114.69081116, -0.11506189, 0.54790002, -0.62684166, -0.54188186, 0.06306860, -0.00127830, 0.00708553, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 31, 0.37123224, -0.45560324, -0.79325753, -5.30896187, -0.36690623, 3.54537535, -34.22975540, 12.92019844, -121.66033173, 115.58173370, 26.69087029, -114.65972137, -0.11554937, 0.54796338, -0.62660152, -0.54199183, 0.05036063, 0.01038855, -0.00066755, 0.00000000, 0.00000000, 0.00000000, 0.00000000
