,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
0,0,572.768724616725,101.0,456.7269943319584,0.0549859212194475,0.0017470868037213,0.0522804995757596,0.0014311340725711,32.0,32.0,32.0,1001.1067360335444,0.0016762575878908,54.930935298228064,33.0,andres,5.2,10.2,4.999999999999999,31,6.200000000000001,0
1,1,638.3909573591159,9.0,539.3403976018164,0.0543836668634945,0.00077513522656,0.0506731876319916,0.002006085302724,35.0,35.0,35.0,1001.1050185269607,0.0002303786455198,54.32928319663108,18.0,andres,10.2,15.2,5.0,35,7.0,0
2,2,638.3439185243642,9.0,466.8184622134322,0.0616261336782883,0.0005822563170853,0.0603511167175406,0.0018988435104767,34.0,32.0,34.0,1001.6240379760412,-0.0002101329744543,61.56450754461003,22.0,andres,15.2,20.2,5.0,34,6.8,1
3,3,559.1769574265347,8.0,612.261252256486,0.0759234549790638,-0.0011899580394304,0.0730716802936315,-0.0003102934253855,34.0,34.0,34.0,1002.898523561888,0.0005052600750234,75.84753152408479,48.0,andres,20.2,25.2,5.0,34,6.8,0
4,4,542.8469423249165,8.0,456.5691974586858,0.0724785118740334,-0.0002137542371067,0.0732933380970096,0.0017864345069549,33.0,33.0,33.0,1002.4532773203102,-0.0001558835591027,72.40603336215945,39.0,andres,25.2,30.2,5.0,33,6.6,1
5,5,472.7926722630492,8.0,410.80061030454544,0.0728639502649569,0.0007789073296808,0.0734483623454484,-0.0006448858328654,32.0,31.0,32.0,1002.5599958024123,-0.0003216537438418,72.791086314692,55.0,andres,30.2,35.2,5.0,32,6.4,1
6,6,78.87002079584636,10.0,135.20277210252453,0.0563559766127261,-0.0105992364020876,0.0468757266169543,-0.0125174321508233,5.0,5.0,5.0,179.4208284219104,-0.0060451773707749,10.087719813677978,9.0,andres,35.2,36.1,0.9000000000000057,4,4.444444444444416,1
7,7,430.304487213468,7.0,417.5346544269805,0.0662205263823612,0.0009256626267364,0.0700584106713645,0.0040101508829581,35.0,34.0,34.0,1001.8302829642412,0.0002671892996859,66.15430585597886,46.0,ariana,3.5,8.5,5.0,23,4.6,0
8,8,346.8666625848404,7.0,502.8213435375221,0.066828746996167,0.0002219997994323,0.0723411827134387,0.0013204213729863,33.0,32.0,33.0,1001.8155310717032,0.0002689754393015,66.76191824917092,64.0,ariana,8.5,13.5,5.0,32,6.4,0
9,9,393.1658948507836,7.0,518.6730123144346,0.074774113590393,0.0003103123097089,0.0782827069926172,0.0051052382047058,32.0,31.0,33.0,1002.5217224580268,3.74610236938163e-05,74.69933947680263,62.0,ariana,13.5,18.5,5.0,32,6.4,0
